universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2022-528,El podcast como fenómeno periodístico emergente. Innovación en los relatos y formatos radiofónicos.,INNOCAST,"LOPEZ OLANO, CARLOS JAVIER",Actividades de radiodifusión.,,"Análisis y clasificación de los podcasts que se producen en España.. Nuestra propuesta es plantear unos criterios de calidad que nos sirvan para acotar el objeto de estudio y y que se puedan aplicar de forma objetiva. Así, además, haremos asequible el número de ejemplos a estudiar y clasificar | Taxonomía de los programas atendiendo al género, al target de público objetivo, presupuesto, carácter innovativo y otras cualidades. En la primera fase, el estudio se circunscribe a podcast nacionales. Más tarde ampliaremos el alcance a europeos e internacionales",2,declaradas,,"Ordenar, analizar patrones, estudiar los diversos géneros y discursos comunicativos que se producen en el campo del podcast.",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2402,,grupo,"{""estructura"": ""Teoría de los Lenguajes y Ciencias de la Comunicación"", ""id_ficha"": ""2402""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2024-608,El tiempo de trabajo en el nuevo contexto del empleo.,WORKTIME,"TALENS VISCONTI, EDUARDO ENRIQUE",Actividades de investigación.,,"Transformaciones sobre el tiempo de trabajo.. Investigación, divulgación y formación sobre las transformaciones del empleo en materia de tiempo de trabajo",1,declaradas,,"Investigación, divulgación y formación en la materia jurídica de la ordenación del tiempo de trabajo, derecho al descanso y corresponsabilidad.",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2844,,grupo,"{""estructura"": ""Derecho del Trabajo y de la Seguridad Social"", ""id_ficha"": ""2844""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2015-264,Emoción y lenguaje en el trabajo: La función discursiva emotiva/evaluativa en diferentes textos y contextos: Proyecto Persuación,EMO-FUNDET,"CABREJAS PEÑUELAS, ANA BELEN",Educación universitaria,,"Persuasión en el trabajo. Estudio de las estrategias persuasivas en el entorno laboral (empresarial e institucional) que se utilizan para la construcción de una identidad corporativa en los medios de comunicación públicos (particularmente en contextos digitales) | Persuasión en el discurso político. Estudios de las estrategias persuasivas típicas del discurso político oral en el contexto anglosajón y español, tales como la metáfora, la metonimia, la evaluación (Martin & White, 2005) o los mecanismos de transitividad (Halliday y Matthiessen, 2004, 2014), o una combinación de ellos, con el objetivo de concencer a la audiencia y obtener sus votos y que, por tanto, se utilizan con un propósito ideologizador",2,declaradas,,"Estudio y Análisis de los mecanismos lingüísticos de la persuasión en ingles y español, en el lenguaje verbal y no verbal | Estudio de las estrategias persuasivas en el entorno laboral (empresarial e institucional) | Estudio empírico de base experimental en contextos educativos. Elaboración y puesta en práctica de un plan de formación | Diseñar el módulo sobre persuasión del curso on-line y/o semi-presencial, para la formación de profesionales de empresa o instituciones",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2096,,grupo,"{""estructura"": ""Instituto Interuniv. de Lenguas Modernas Aplicadas (IULMA)"", ""id_ficha"": ""2096""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2013-026,"Emprendimiento, Dirección de Empresas Cooperativas y de la Economía Social y Sostenibilidad Corporativa",EMPRECOOP,"CAMPOS CLIMENT, VANESSA",Dirección de Empresas 'Juan José Renau Piqueras',,"Sostenibilidad corporativa, Responsabilitat social empresarial y Ética en los negocios. Estudio de sostenibilidad corporativa en las PYMES y las empresas de Economía Social. Memorias de sostenibilidad e informes no financieros. Estudio de diferentes modelos de sostenibilidad como la Economía del Bien Común y las BCorporations. Creación de valor compartido y Triple Botton Line | Emprendimiento Sostenible. Estudio sobre el emprendimiento y la creación de empresas en general y para el caso de los empresas sociales en particular. Análisis del concepto de empresario y emprendedor, sus características y aplicación de los diferentes teorías sobre el emprendimiento | Dirección de empresas de la economía social. Estudio sobre la administración y dirección de empresas cooperativas y de la economía social. Se incluye su diagnóstico estratégico, el diseño del sistema de objetivo con la misión, la visión y los valores, la formulación de estrategias corporativas y competitivas, y la implementación de estas estrategias",3,declaradas,,"Adquirir nuevos conocimientos sobre el emprendimiento, la dirección de empresas cooperativas y de la Economía Social y la Sostenibilidad Corporativa y diferentes modelos de responsabilidad social empresarial. | Contribuir a resolver los problemas reales de emprendimiento, dirección de las empresas de la Economía Social y Cooperativa y empresas sostenibles y socialmente responsables. | Generar nuevas formas organizativas para el emprendimiento, creación de empresas sociales y la sostenibilidad corporativa. | Formación de universitarios y profesionales en el emprendimiento, la dirección de empresas cooperativas y de la Economía Social y la sostenibilidad corporativa, el gobierno corporativo, la ética en los negocios y los criterios ASG.",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=1898,https://www.uv.es/catedra-economia-bien-comun/es/catedra-economia-del-bien-comun.html,grupo,"{""estructura"": ""Dirección de Empresas 'Juan José Renau Piqueras'"", ""id_ficha"": ""1898""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2026-058,Empresa Multinacional y Sociedad,Multi&Social,"VILLAR GARCIA, CRISTINA",Otras actividades de consultoría de gestión empresarial.,,"Configuración de la EMN: Redes interorganizativas, decisiones de localización, cadenas de valor globales y transferencia de conocimiento. Configuración de la EMN: Redes interorganizativas, decisiones de localización, cadenas de valor globales y transferencia de conocimiento | Estrategias de innovación global en la EMN: Innovación organizativa, medioambiental y social. Estrategias de innovación global en la EMN: Innovación organizativa, medioambiental y social | Rol de la filial y relaciones entre la estrategia local-global: capacidades y supervivencia de las filiales, mejora competitiva, influencia y legitimidad. Rol de la filial y relaciones entre la estrategia local-global: capacidades y supervivencia de las filiales, mejora competitiva, influencia y legitimidad | Comportamiento ético de las filiales/EMN y regulación: incentivos, políticas públicas y papel de las instituciones y stakeholders en el desarrollo sostenible. Comportamiento ético de las filiales/EMN y regulación: incentivos, políticas públicas y papel de las instituciones y stakeholders en el desarrollo sostenible",4,declaradas,,Analizar los cambios en la estructura de la EMN para adaptarse las presiones institucionales locales y globales | Estudiar el desarrollo y configuración de estrategias de innovación social y medioambiental en la EMN | Analizar los incentivos y decisiones de la EMN en relación a su impacto en la sociedad,,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=3116,,grupo,"{""estructura"": ""Dirección de Empresas 'Juan José Renau Piqueras'"", ""id_ficha"": ""3116""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2024-614,Enfermedades Raras y Comunicación,RED_ER,"SANCHEZ CASTILLO, SEBASTIAN",Servicios de representación de medios de comunicación.,,"Enfermedades Raras y medios de comunicación. El Grupo de Investigación se centra en el análisis del flujo comunicativo en redes sociales procedente de los pacientes con ER, sus familiares, cuidadores y asociaciones. En particular se concreta en identificar las necesidades sociosanitarias de este colectivo",1,declaradas,,Enfermedades Raras | Redes Sociales | Análisis del discurso | comunicación,,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2878,,grupo,"{""estructura"": ""Teoría de los Lenguajes y Ciencias de la Comunicación"", ""id_ficha"": ""2878""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2025-646,Enfermeras de URgencias EMergencias y CAtástrofes,EUREMCA,"CASAL ANGULO, MARIA DEL CARMEN",Actividades de investigación. Actividades de medicina especializada.,,"Investigacion en ciencias de la salud. Investigación aplicada a las ciencias de la salud, para asegurar la mayor calidad asistencial en el ámbito de las urgencias extra e intrahospitalarias, aplicando el uso de las nuevas tecnologías, humanización y diferentes recursos llevados a la práctica | Metodologías docentes en simulación clínica. Metodologías docentes innovadoras, evaluando las herramientas y métodos audiovisuales ofrecidos por la universidad en el contexto de simulación de alta complejidad, task training y gamificación para la consecución de los estándares de los criterios de calidad | Educación interprofesional. Educación interprofesional, analizando el estudio de las competencias de trabajo cooperativo, habilidades comunicativas, liderazgo, y transferencia de manera transversal entre las distintas disciplinas de grado y posgrado en ciencias de la salud",3,declaradas,,"Producción científica relacionada con las urgencias, emergencias y catástrofes | Transversalidad y proyectos multicéntricos para alumnado de grado y postgrado | Favorecer la innovación en salud y promoción y Educación para la salud en situaciones de urgencias | investigación relacionada con la formación del estudiantado con los métodos basados en el aprendizaje experiencial y métodos audiovisuales",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2928,,grupo,"{""estructura"": ""Enfermería"", ""id_ficha"": ""2928""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2025-660,Enseñanza y Aprendizaje de Lenguas en Educación Multilingüe,TeLL-ME,"CEREZO HERRERO, ENRIQUE",Educación secundaria general. Educación universitaria,,"Metodologías y estrategias docentes aplicadas a la enseñanza y aprendizaje de lenguas extranjeras. Análisis del impacto que determinadas metodologías y estrategias docentes pueden tener en el proceso de enseñanza y aprendizaje de una lengua extranjera. Implementación de estudios basados en la metodología investigación-acción en el aula | Tecnologías avanzadas en el aprendizaje y enseñanza de lenguas extranjeras. Estudio del impacto de la introducción de diversas herramientas tecnológicas y digitales como la inteligencia artificial, la realidad virtual, el uso de MOOCs, los intercambios virtuales y otras aplicaciones afines en la enseñanza bilingüe/plurilingüe | Diversidad e inclusión en los procesos de enseñanza y aprendizaje de una lengua extranjera. Análisis de las necesidades educativas en la enseñanza y aprendizaje de lenguas para garantizar la inclusión. Desarrollo de modelos inclusivos | Aprendizaje Integrado de Contenidos y Lenguas Extranjeras (AICLE) e English as a Medium of Instruction (EMI). Análisis multivariable de distintos elementos y agentes que intervienen en el proceso de formación: docentes, estudiantes, responsables académicos, etc. Se pretende analizar el grado de adquisición de la lengua extranjera, las necesidades del profesorado y los materiales didácticos | Enseñanza de Lenguas para Fines Específicos. Análisis del impacto que distintas herramientas y metodologías pueden tener sobre el aprendizaje del inglés para fines específicos en estudiantes de distintos grados",5,declaradas,,"Analizar programas educativos bilingües o multilingües | Investigar la implementación y efectividad de metodologías activas e innovadoras en asignaturas vehiculadas en una lengua extranjera | Evaluar el impacto de herramientas tecnológicas y digitales como recursos educativos en el aprendizaje/enseñanza de lenguas extranjeras | Diseñar programas de formación docente y materiales didácticos con el objeto de promover la transferencia de conocimiento | Estudiar los procesos de inclusión educativa, considerando la diversidad en la enseñanza de lenguas extranjeras",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2936,https://www.uv.es/tellme,grupo,"{""estructura"": ""Instituto Interuniv. de Lenguas Modernas Aplicadas (IULMA)"", ""id_ficha"": ""2936""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2015-218,Enseñanza y adquisición de competencias solidarias e interculturales a través de las lenguas y la literatura,TALIS,"SANELEUTERIO TEMPORAL, ELIA",Educación cultural.,,Educación intercultural. Educación para el desarrollo de la competencia intercultural a través de la literatura | Aprendizaje de lenguas extranjeras. Aprendizaje de lenguas extranjeras a través de la literatura multicultural,2,declaradas,,"Fomentar la investigación interdisciplinar en la Educación intercultural y literaria, la Educación para el desarrollo y el aprendizaje de lenguas. | Crear una red de investigadores en estos campos a nivel interuniversitario. | Investigar el estado de la cuestión en estos campos tanto aisladamente como de manera interdisciplinar. | Analizar materiales didácticos desde la perspectiva de estos temas. | Desarrollar herramientas de investigación teórica y aplicada para el desarrollo de los temas del grupo. | Elaborar materiales que reflejen los avances del grupo en los temas del grupo.",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2171,http://www.proyectotalis.com,grupo,"{""estructura"": ""Didáctica de la Lengua y la Literatura"", ""id_ficha"": ""2171""}",UV_groups.csv
UV,Universitat de València,Comunidad Valenciana,extraido,GIUV2015-263,Entomología y control de plagas,ECP,"BAIXERAS ALMELA, JOAQUIN",Actividades de investigación. Actividades de museos.,,"Sistematica y biología de parasitoides. Estudios de taxonomía, clasificación y filogenia en himenópteros Parasitica, fundamentalmente de la familia Braconidae. Incluye aspectos de su morfología como el estudio de la glándula del veneno y aspectos ecológicos como las relaciones huésped-parasitoide | Control de plagas. Reconocimiento, detección y control de plagas. Incluido enemigos naturales, insecticidas biorracionales y feromonas. Compatibilidad de insecticidas con fauna útil. Especialmente en el entorno urbano y agrícola. Muy especialmente dedicados a plagas urbanas (cucarachas) y vectores (mosquitos) | Sistematica y biología de lepidópteros. Estudios de taxonomía, filogenia y ecología en lepidópteros (mariposas y polillas), especialmente de la familia Tortricidae. Incluye aspectos de su morfología, selección sexual y dinámica poblacional, así como estudios en especies protegidas | Entomología general. Trabajos generales en Entomología, incluida divulgación y formación, en grupos de insectos y aspectos no cubiertos por las líneas más concretas de este laboratorio. Se incluyen aquí, por ejemplo, trabajos sobre Odonata (libélulas), Diptera, Coleoptera, así como trabajos en conservación",4,declaradas,,"Estudio de la taxonomía y filogenia en insectos de los ordenes Hymenoptera, Lepidoptera y Diptera | Insectos parasitoides (braconidos y calcididos) Morfología comparada de la glándula del veneno, relaciones huesped-parasitoide | Morfología y Selección sexual en Lepidoptera | Reconocimiento y detección de plagas y establecimiento de sus ciclos biológicos, medidas de control | Insecticidas: desarrollo de insecticidas biorracionales, feromonas, control biologico, plagas urbanas y agrícolas",,,,https://www.uv.es/uvweb/servicio-investigacion/es/grupos-investigacion-1285947851930.html?p2=2095,http://www.uv.es/uvweb/institut-universitari-cavanilles-biodiversitat-biologia/ca/investigacio/grups-recerca/entomologia-control-plagues/directori-1285894352851.html,grupo,"{""estructura"": ""Instituto Cavanilles Biodiversidad y Biol. Evolutiva (ICBBE)"", ""id_ficha"": ""2095""}",UV_groups.csv
