universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
UAL,Universidad de Almería,Andalucía,extraido,TIC129,Análisis De Imágenes.,,"Moreno Ruiz, Jose Andres",Informática,Tecnologías de la información y comunicaciones,Reconocimiento De Estructuras En Imagenes De Satelite. Visión Artificial. Teledetección. Tratamiento Digital De Imágenes,1,declaradas,Teledetección | Tratamiento De Imágenes | Vision Por Computadores,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/TIC/TIC129,,grupo,"{""n_miembros"": ""4"", ""telefono"": ""950015678""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,BIO353,Aplicaciones De La Biotecnologia A Los Productos Marinos,,"Vargas García, Mª Del Carmen",Biología y Geología,Biología y química,Caracterización Nutricional De Insectos | Ecología De Especies Pesqueras | Microbioma | Nutrición Y Alimentación De Peces,4,declaradas,Acuicultura | Insectos | Microbiología | Pesca,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/BIO/BIO353,http://www.ual.es/,grupo,"{""n_miembros"": ""7"", ""telefono"": ""950015892""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM413,"Asesoramiento, Perfeccionamiento Y Calidad Enseñanza",,"Fernández Larragueta, Susana",Educación,Humanidades,Asesoramiento Externo E Interno | Educación En La Diversidad Cultural | Estudio De Las Estrategias Docentes Y Acciones Psicopedagógicas Para Atender Grupos Heterogéneos | Evaluación Educativa | Innovación Educativa,5,declaradas,Acción Psicopedagógica | Educación Intercultural | Evaluación Educativa | Innovación Educativa | Organización Educativa | Perfeccionamiento Profesional | Tic,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM413,,grupo,"{""n_miembros"": ""7"", ""telefono"": ""950015820""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,TEP197,"Automática, Robótica Y Mecatrónica",,"Berenguel Soria, Manuel",Informática,Tecnologías de la producción,"Big-Data E Iot, Open Data And Data Sharing And Management Aplicado Al Sector Agroalimentario Y Energético | Control Predictivo, Jerárquico Y Robusto | Educación En Ingeniería | Eficiencia Energética Y Control De Confort En Edificios | Modelado, Control Y Robótica En Agro-Industria | Modelado Y Control De Fotobiorreactores | Modelado Y Control De Plantas Termosolares | Redes Energéticas Inteligentes | Sistemas De Supervisión Y Comunicaciones Industriales | Vehículos Eléctricos",10,declaradas,"Automática Y Control De Procesos | Control En Agricultura, Energía Y Biotecnología | Control Predictivo | Control Robusto | Dinámica De Vehículos Y Análisis De Vibraciones | Robótica: Diseño Y Control | Teoria De La Señal Y Comunicaciones",,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/TEP/TEP197,http://arm.ual.es/,grupo,"{""n_miembros"": ""32"", ""telefono"": ""950015683""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,CTS1114,Avances E Innovación En Salud,,"Roman Lopez, Pablo","Enfermería, Fisioterapia y Medicina",Ciencias y técnicas de la salud,Atención A Poblaciones Vulnerables | Avances E Innovación En Educación En Ciencias De La Salud | Avances E Innovación En Gestión Y Organización En Salud | Avances E Innovación En Microbiota Intestinal | Avances E Innovación En Tecnologías De La Salud | Práctica Clínica Basada En La Evidencia,6,declaradas,Educación En Ciencias De La Salud | Enfermería | Gestión Sanitaria | Grupos Vulnerables | Innovación En Salud | Microbiota Intestinal | Tecnología Sanitaria,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/CTS/CTS1114,http://www.ual.es/,grupo,"{""n_miembros"": ""10"", ""telefono"": ""950214563""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,SEJ434,Avances En Economia Aplicada,,"López Ruiz, Estefanía",Economía y Empresa,"Ciencias sociales, económicas y jurídicas",Economia De La Inmigración | Economía Del Sector Público,2,declaradas,Sector Publico,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/SEJ/SEJ434,www.ual.es,grupo,"{""n_miembros"": ""2"", ""telefono"": ""950214703""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM057,"Avances En Intervención Y Epidemiología Con Infancia, Adolescencia Y Familias",,"Gomez Becerra, Maria Inmaculada",Psicología,Humanidades,"Análisis De Los Procedimientos De Discriminación En La Enseñanza De Diferentes Habilidades Académicas, Cognitivas Y Metacognitivas | Análisis De Los Sistemas Dimensionales O Empíricos En El Ámbito De Evaluación Y Diagnóstico De La Infancia | Análisis Del Papel De La Familia Como Factor De Riesgo O Protección De Diferentes Alteraciones Psicológicas En Los Niños | Aplicación De La Terapia De Aceptación Y Compromiso En La Intervención En Familias | Aplicación De Realidad Virtual En La Intervención De Trastornos Psicológicos En Infancia O En La Mejora Del Bienestar Emocional | Epidemiología De Las Alteraciones Psicológicas En La Infancia Y Análisis De Los Factores De Riesgo Y De Protección De Las Siguientes: Trastornos Del Comportamiento Alimentario, Trastornos De Conducta, Hiperactividad, Retraso En El Desarrollo, Espectro Autista | Evaluación E Intervención En La Inteligencia Emocional. Su Relación Con Perfiles Psico-Sociales En Infancia Y Adolescencia | Investigación Y Análisis En Los Programas De Intervención Con Padres En Los Trastornos O Problemas Psicológicos En La Infancia Y Adolescencia | Papel Del Lenguaje Y La Cognición En Procesos Complejos: Toma De Perspectiva, Emergencia De Las Relaciones Simbólicas Y Analogías, Discriminaciones Complejas, Sensibilidad-Insensibilidad A Las Contingencias, Autocontrol Bajo Procedimientos De Correspondencia Decir-Hacer | Terapias Sistémicas",10,declaradas,"Prevención E Intervención En Infancia, Adolescencia Y Familias.",,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM057,http://www.infanciayfamilia.es,grupo,"{""n_miembros"": ""8"", ""telefono"": ""950214414""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,RNM344,Biología De La Conservación,,"Merlo Calvente, Mª Encarnacion",Biología y Geología,Recursos naturales y medio ambiente,Biogeografía | Restauración Ecológica | Sistemas De Información Geográfica | Cartografía De La Vegetación | Filogeografía | Sucesión Vegetal | Dinámica De Poblaciones | Biología De La Conservación | Biología De Poblaciones | Ecofisiología | Genética De Poblaciones,11,declaradas,Biodiversidad-Conservación | Filogeografía | Flora Amenazada,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/RNM/RNM344,htpp://nevada.ual.es/biocon/,grupo,"{""n_miembros"": ""6"", ""telefono"": ""950015936""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,CTS492,Bioquimica Y Biologia Molecular,,"Clemente Jimenez, Maria Jose",Química y Física,Ciencias y técnicas de la salud,Bioremediación De Residuos Vegetales Mediante La Utilización De Cócteles Enzimáticos | Caracterización Bioquímica Y Termodinámica De La Interacción Molecular De Ligandos O Inhibidores A La Gst De Schistosoma Japonicum | Desarrollo De Nuevos Procedimientos De Fermentación Para La Mejora De La Calidad De Los Vinos De La Comarca De La Alpujarra Almeriense | Desarrollo De Un Sistema De Autolisis En Levadura Para La Produccion De L-Aminoácidos | Desarrollo De Un Sistema De Producción De Precursores De Antibióticos Beta-Lactámicos Por Clonado Y Expresión De Los Genes Implicados (Hidantoinasa/Carbamilasa),5,declaradas,Acidos Nucleicos | Ciencias Agrarias | Ingenieria De Proteinas | Produccion De D-Aminoácidos | Producción De L-Aminoácidos | Racemización Aminoácidos,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/CTS/CTS492,,grupo,"{""n_miembros"": ""4"", ""telefono"": ""950015055""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,BIO173,Biotecnologia De Microalgas Marinas,,"Sánchez Mirón, Asterio",Ingeniería Química,Biología y química,"Cosechado Y Procesamiento De La Biomasa: (A) Flotación, Sedimentación, Filtración Con Membranas De Ultrafiltración | (B) Tecnologías De Rotura Celular | (C) Tecnologías Físico-Químicas Y Enzimáticas De Extracción De Lípidos De Microalgas | Explotación Industrial De La Biotecnología De Microalgas. (A) Productos De Alto Valor (Ácidos Grasos Poliinsaturado, Compuestos Bioactivos De Dinoflagelados, Antioxidantes, Ficobiliproteinas) | (B) Ingredientes Para La Alimentación Animal Y Humana | (C) Biofertilizantes, Bioestimulantes Y Biopesticidas Para Agricultura | (D) Biomasa Para Acuicultura E Ingredientes Alimenticios Para La Misma | Ingeniería De Fotobiorreactores Para El Cultivo De Microalgas (Diseño, Control, Operación Y Escalado) | Sistemas Integrados De Captura De Co2 De Gases De Escape Mediante Cultivos De Microalgas | Tecnología Enzimática Para La Producción De Lípidos Estructurados A Partir De Microalgas | Tratamiento De Aguas Residuales Urbanas Y Procedentes De Efluentes Agropecuarios Mediante Microalgas",11,declaradas,Ingeniería Bioquímica | Phd En Biotecnología Avanzada,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/BIO/BIO173,,grupo,"{""n_miembros"": ""21"", ""telefono"": ""950214025""}",UAL_groups.csv
